Title,Jahr,Author,Untertitel,Dokumententyp,"Übergeordneter Titel",Zeitschrift,Reihentitel,Herausgeber,Ort,Verlag,Auflage,ISBN,DOI,Band,Nummer,Seiten,"Internetdokument URL",Institution/Veranstalter,"Vortragsreihe / Veranstaltung",Datum,Vortragende/r,Vortragstyp,Panel
"Adressing data gaps in sustainability reporting: A benchmark dataset for greenhouse gas emission extraction",2025,"Beck, Jacob; Steinberg, Anna; Dimmelmeier, Andreas; Domenech Burin, Laia; Kormanyos, Emily; Fehr, Maurice; Schierholz, Malte",,Zeitschriftenaufsatz,,"Scientific Data",,,,,,,,,,,https://doi.org/10.1038/s41597-025-05664-8,,,,,"Wissenschaftlicher Vortrag",
"Leadership Ethics in the Digital Age",2025,"Mehmood, Ayyaz; Böhm, Ariane; Böhm, Markus","Exploring NLP-Supported CSR Initiatives to Tackle Toxic Leadership Behavior",Konferenzpapier,,"Proceedings of the Mediterranean Conference on Information Systems",,,"Nantes, Frankreich",,,,,,,,https://uncloud.univ-nantes.fr/index.php/s/inn8bMzCDr9Dfxi?openfile=true,,,,,"Wissenschaftlicher Vortrag",
"How Amendments of the European Sustainability Reporting Standards Impact Data Quality and Utility for Researchers",2025,"Sommer, Felicitas; Dimmelmeier, Andreas","A Critical Assessment","Graue Literatur / Bericht / Report",,,,SSRN,,,,,http://dx.doi.org/10.2139/ssrn.5521138,,,1-25,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5521138,,,2025-10-16,,"Wissenschaftlicher Vortrag",
"Typology of Data Quality Problems in the Corporate Reporting of GHG Emissions",2025,"Dimmelmeier, Andreas; Sommer, Felicitas; Palmquist, Alexandra",,"Graue Literatur / Bericht / Report",,,,Klimatkollen,,,,,,,,1-20,https://klimatkollen.se/reports/Typology_of_Data_Quality_Problems_in_Corporate_Reporting.docx.pdf,,,,,"Wissenschaftlicher Vortrag",
"1/6 Stellungnahme zum Diskussionsentwurf des Bundesministeriums der Justiz für ein Gesetz zur Stärkung der privaten Rechtsverfolgung im Internet",2025,"Carathanassis, Fay; Schillmöller, J.; Doseva, Steliyana; Schmid-Petri, Hannah; Heckmann, Dirk",,"Graue Literatur / Bericht / Report",,,,bidt,,,,,,,,,https://www.bidt.digital/wp-content/uploads/sites/2/2025/04/Stellungnahme_GgdG-E_bidt_042025.pdf,,,2025-04-03,,"Wissenschaftlicher Vortrag",
"Virtual contrast-enhanced maximum intensity projections from high-b-value diffusion-weighted breast MRI: a feasibility study",2025,"Liebert, Andrzej; Schreiter, Hannes; Hadler, Dominique; Kapsner, Lorenz A.; Ohlmeyer, Sabine; Eberle, Jessica; Erber, Ramona; Emons, Julius; Laun, Frederik B.; Uder, Michael; Wenkel, Evelyn; Bickelhaupt, Sebastian",,Zeitschriftenaufsatz,,,,,,,,,,,,,https://doi.org/10.1186/s41747-025-00625-7,,,,,"Wissenschaftlicher Vortrag",
"AI-Based screening for thoracic aortic aneurysms in routine breast MRI",2025,"Bounias, Dimitrios; Führes, Tobit; Brock, Luise; Graber, Johanna; Kapsner, Lorenz A.; Liebert, Andrzej; Schreiter, Hannes; Eberle, Jessica; Hadler, Dominique; Skwierawska, Dominika; Floca, Ralf; Neher, Peter; Kovacs, Balint; Wenkel, Evelyn; Ohlmeyer, Sabine; Uder, Michael; Maier-Hein, Klaus; Bickelhaupt, Sebastian",,Zeitschriftenaufsatz,,,,,,,,,,,,,https://doi.org/10.1038/s41467-025-59694-2,,,,,"Wissenschaftlicher Vortrag",
"Feasibility of virtual T2-weighted fat-saturated breast MRI images by convolutional neural networks",2025,"Andrzej, Liebert; Dominique, Hadler; Chris, Ehring; Hannes, Schreiter; Luise, Brock; Lorenz A., Kapsner; Jessica, Eberle; Ramona, Erber; Julius, Emons; Frederik B, Laun; Michael, Uder; Evelyn, Wenkel; Sabine, Ohlmeyer; Sebastian, Bickelhaupt",,Zeitschriftenaufsatz,,,,,,,,,,,,,https://doi.org/10.1186/s41747-025-00580-3,,,,,"Wissenschaftlicher Vortrag",
"Impact of non-contrast-enhanced imaging input sequences on the generation of virtual contrast-enhanced breast MRI scans using neural network",2025,"Andrzej, Liebert; Hannes, Schreiter; Lorenz A., Kapsner; Jessica, Eberle; Chris M., Ehring; Dominique, Hadler; Luise, Brock; Ramona, Erber; Julius, Emons; Frederik B., Laun; Michael, Uder; Evelyn, Wenkel; Sabine, Ohlmeyer; Sebastian, Bickelhaupt",,Zeitschriftenaufsatz,,"European Radiology",,,,,,,https://doi.org/10.1007/s00330-024-11142-3,,35,2603-2616,https://doi.org/10.1007/s00330-024-11142-3,,,,,"Wissenschaftlicher Vortrag",
"U-Net and GAN for Virtual Contrast in Breast MRI",2025,"Aju, George; Hannes, Schreiter; Julian, Hossbach; Tri-Thien, Nguyen; Ihor, Horishnyi; Chris, Ehring; Shirin, Heidarikahkesh; Lorenz, A. Kapsner; Frederik B., Laun; Michael, Uder; Sabine, Ohlmeyer; Sebastian, Bickelhaupt; Andrzej, Liebert","Hwo do they compare to Real Contrast Images",Konferenzpapier,,,,,,,,,https://doi.org/10.1007/978-3-658-47422-5_63,,,,,,,2025-03-02,,"Wissenschaftlicher Vortrag",
"Enhancing transformer-based architectures with geometric deep learning for colonoscopic polyp size classification using transfer learning",2025,"Krenzer, Adrian; Heil, Stefan; Puppe, Frank",,Zeitschriftenaufsatz,,,,,,,,,https://doi.org/10.1016/j.artmed.2025.103304,,,,,,,,,"Wissenschaftlicher Vortrag",
"Classification of Gastroscopy Images Under Extreme Class Imbalance: A Deep Learning Pipeline",2025,"Krenzer, Adrian; Friedetzki, Tobias; Dietsch, Max; Puppe, Frank",,Konferenzpapier,,,,,,,,,10.1007/978-3-031-98691-8_20,,,,https://link.springer.com/chapter/10.1007/978-3-031-98691-8_20,,,,,"Wissenschaftlicher Vortrag",
"AI4EUD: Empowering the End-User — Software Development with LLMs",2025,"Weber, Thomas; Elagroudy, Passant; Palanque, Philippe; Mayer, Sven",,"Unklarer Dokumententyp",,"Joint Proceedings of the Workshops, Work in Progress Demos and Doctoral Consortium at the IS-EUD 2025 co-located with the 10th International Symposium on End-User Development (IS-EUD 2025)",,,München,,,,,,,,https://ceur-ws.org/Vol-3978/short-s5-00.pdf,,,,,"Wissenschaftlicher Vortrag",
"AI-Assisted Specification-Driven Software Creation",2025,"Weber, Thomas; Mayer, Sven; Schmidt, Albrecht",,"Unklarer Dokumententyp",,,"Workshop on Engineering Interactive Systems Embedding AI Technologies (EISEAIT)",,Trier,,,,,,,,https://sites.google.com/view/eis-emb-aitech/program,,,,,"Wissenschaftlicher Vortrag",
"Regulation as opportunity: proactive GDPR compliance in the US financial services industry",2025,"Cao, Ruiqing; Kretschmer, Tobias",,Zeitschriftenaufsatz,,"Industrial and Corporate Change",,,,,,,,,,,https://doi.org/10.1093/icc/dtaf031,,,,,"Wissenschaftlicher Vortrag",
"Is competition policy fit for the digital economy? A European Perspective",2025,"Estrin, Saul; Mayer, Klaus E.; Kretschmer, Tobias",,Zeitschriftenaufsatz,,"Academy of Management Perspectives",,,,,,,,39,4,,https://doi.org/10.5465/amp.2023.0249,,,,,"Wissenschaftlicher Vortrag",
"Zwischen Unsichtbarkeit und Exponiertheit. Zu einer theologischen Ethik der Visibilität im digitalisierten Gesundheitssystem",2025,"Ott, Tabea",,"Buch (Monographie)",,,"Perspektiven der Ethik",,Tübingen,"Mohr Siebeck",,978-3-16-164732-1,,,27,,,,,,,"Wissenschaftlicher Vortrag",
"Wettbewerb auf ad tech-Märkten",2025,"Pless, Viola Theresa ","Selbstbevorzugung auf den Werbetechnologiemärkten für Displaywerbung","Buch (Monographie)",,,"Europäisches Wettbewerbsrecht","Prof. Dr. Thomas Ackermann LL.M., Prof. Dr. Christian Heinze LL.M., Prof. Dr. Patrick C. Leyens LL.M., Prof. Dr. Rupprecht Podszun, Prof. Dr. Wolfgang Wurmnest LL.M. (London), Begründet von Prof. em. Dr. Dr. h.c. Jürgen Basedow †, Prof. em. Dr. Dr. Dr. h.c. Klaus Hopt, Prof. em. Dr. Wulf-Henning Roth",Baden-Baden,Nomos,,"978-3-7560-3480-2 / 978-3-7489-6514-5",,,,1-490,,,,,,"Wissenschaftlicher Vortrag",
"The Platformization of Media Information and Entertainment",2025,"Hess, Thomas; Nserat, Joseph",,"Beitrag in ...",,"De Gruyter Handbook of Media Technology and Innovation","De Gruyter Handbook of Media Technology and Innovation","De Gruyter","Berlin, Germany; Boston, USA","Walter de Gruyter GmbH & Co KG",,"3111145174, 9783111145174",,,,95,,,,,,"Wissenschaftlicher Vortrag",
"Countering Audiovisual AI-Generated Content: AI-Literacy to Enhance Trust in Media Platforms?",2025,"Nserat, Joseph ",,Konferenzpapier,,"Proceedings of the American Conference on Information Systems – AMCIS",,,"Montreal, Kanada",,,,https://aisel.aisnet.org/amcis2025/social_inclusion/social_inclusion/6/,,,,,,,,,"Wissenschaftlicher Vortrag",
"Do You Believe What You See? Labeling Audiovisual AI-Generated Content to Enhance Trust in Media Platforms",2025,"Nserat, Joseph ",,Konferenzpapier,,"Proceedings of the International Conference on Information Systems – ICIS",,,"Nashville, USA",,,,,,,,https://aisel.aisnet.org/icis2025/is_media/is_media/3/,,,,,"Wissenschaftlicher Vortrag",
"Scale Matters - Why the efficiency of free-floating vehicle sharing systems depends on the system’s scale",2025,"Urban, Lisa; Baur, Alexander; Soppert, Matthias; Steinhardt, Claudius",,Zeitschriftenaufsatz,,"Transportation Research Part C",,,,,,,https://doi.org/10.1016/j.trc.2025.105169,,,,,,,,,"Wissenschaftlicher Vortrag",
"KI-Anwendungen für Shared Mobility Angebote",2025,"Urban, Lisa; Baur, Alexander",,"Beitrag in ...",,,"Nachhaltige Wirtschaftskonzepte: Strategien - Innovationen - Trends","Knoppe, Marc",,,,,https://doi.org/10.1007/978-3-658-47879-7_6,,,,,,,,,"Wissenschaftlicher Vortrag",
"Doppler-SLAM: Doppler-Aided Radar-Inertial and LiDAR-Inertial Simultaneous Localization and Mapping",2025,"Wang, Dong; Haag, Hannes; Herraez, Daniel Casado; May, Stefan; Stachniss, Cyrill; Nüchter, Andreas",,Zeitschriftenaufsatz,,"IEEE Robotics and Automation Letters",,,,,,,10.1109/LRA.2025.3595071,,,,,,,,,"Wissenschaftlicher Vortrag",
"Digital Infrastructure in Healthcare: A Business Model Taxonomy for Data Ecosystems",2025,"Konopik, Jens",,Konferenzpapier,,"Proceedings of the 46th International Conference on Information Systems (ICIS) 2025",,AIS,"Nashville, Tennessee, USA",,,,,,,,https://aisel.aisnet.org/icis2025/is_health/ishealthcare/10/,,,,,"Wissenschaftlicher Vortrag",
"Der Europäische Raum für Gesundheitsdaten (EHDS) und seine Bedeutung für das deutsche Gesundheitswesen",2025,"Konopik, Jens","Eine Zusammenfassung und kritische Reflexion der Potenziale",Zeitschriftenaufsatz,,"Prävention und Gesundheitsförderung",,,,"Springer Nature",,,https://doi.org/10.1007/s11553-025-01200-z,,,,,,,,,"Wissenschaftlicher Vortrag",
"Governing the emergence of network-driven platform ecosystems",2025,"Kari, Arthur; Bellin, Pepe; Matzner, Martin; Gersch, Martin",,Zeitungsartikel,,,,,,,,,,,,,https://link.springer.com/article/10.1007/s12525-024-00745-9,,,,,"Wissenschaftlicher Vortrag",
"Mit Fahrzeugdaten zum datengetriebenen Geschäftsmodell: Ein Reifegradmodell für die Automobilindustrie",2025,"Bellin, Pepe; Homner, Norbert; Gonter, Mark; Matzner, Martin",,Zeitungsartikel,,,,,,,,,,,,,https://link.springer.com/article/10.1365/s40702-025-01192-6,,,,,"Wissenschaftlicher Vortrag",
"IT for the People: Driving Digital Innovation with Citizen Development",2025,"Kraus, Julia Maria; Hess, Thomas",,Konferenzpapier,,,,,,,,,,,,,https://aisel.aisnet.org/amcis2025/sig_dite/sig_dite/15,,,,,"Wissenschaftlicher Vortrag",
"Privacy Concerns in the Metaverse Context: An Examination of Real and Virtual Identity",2025,"Roider, Hanna; Widjaja, Thomas",,Konferenzpapier,,"Proceedings of the 46th International Conference on Information Systems (ICIS 2025)","ICIS 2025 Proceedings","Association for Information Systems (AIS)","Nashville, Tennessee, USA",,,,,,,,https://aisel.aisnet.org/icis2025/cyb_security/cyb_security/1,,,,,"Wissenschaftlicher Vortrag",
"The competence–control trade-off in military AI innovation: Autonomous weapons systems and shifting modes of state control over private experts",2025,"Johansen, Andrea; Kruck, Andreas ",,Zeitschriftenaufsatz,,"European Journal of International Security",,,,,,,https://doi.org/10.1017/eis.2025.10020,,,,,,,,,"Wissenschaftlicher Vortrag",
"On the Interplay of Governance Mechanisms in Data Space-Enabled Ecosystems",2025,"Liebert, Pauline",,Konferenzpapier,,,,,,,,,,,,,https://aisel.aisnet.org/amcis2025/data_eco/data_eco/5/,,,,,"Wissenschaftlicher Vortrag",
"Managing Tensions in Digital Ecosystem Governance Through Systems Balancing",2025,"Liebert, Pauline; Engert, Simon",,Konferenzpapier,,,,,,,,,,,,,https://aisel.aisnet.org/icis2025/sharing_econ/sharing_econ/8/,,,,,"Wissenschaftlicher Vortrag",
"Replace, Reveal, or Reinforce: Investigating Ambidextrous AI Usage in Media Companies",2025,"Zwingmann, Nina; Hess, Thomas",,Konferenzpapier,,"Proceedings of the 31st Americas Conference on Information Systems (AMCIS 2025)",,,"Montreal, Kanada",,,,,,,1-10,https://aisel.aisnet.org/amcis2025/sig_odis/sig_odis/3/,,,,,"Wissenschaftlicher Vortrag",
"Go Hype or Go Home? Exploring (Mis) Alignments of LLM Adoption in Media Companies",2025,"Zwingmann, Nina",,Konferenzpapier,,"Proceedings of the 33rd European Conference on Information Systems (ECIS 2025)",,,"Amman, Jordanien",,,,,,,1-16,https://aisel.aisnet.org/ecis2025/is_adoption/is_adoption/2/,,,,,"Wissenschaftlicher Vortrag",
"Shifting the Gate—Generative AI’s Impact on Media Gatekeeping",2025,"Zwingmann, Nina; Hoffmeister, Eva Isabel; Engert, Simon Paul; Hess, Thomas",,Konferenzpapier,,"Proceedings of the 46th International Conference on Information Systems (ICIS 2025)",,,"Nashville, TN, USA",,,,,,,1-17,https://aisel.aisnet.org/icis2025/is_media/is_media/6/,,,,,"Wissenschaftlicher Vortrag",
"Designing Deliberative Digital Communication Platforms",2025,"Schmalenbach, Kian; Brechtelsbauer, Bastian",,Konferenzpapier,,"Digital Humanism Interdisciplinary Science and Research Conference",,,Wien,,,,10.1007/978-3-032-11108-1_37,,,,,,,,,"Wissenschaftlicher Vortrag",
"On the Effectiveness of Prompt-Moderated LLMs for Math Tutoring at the Tertiary Level",2025,"Steindl, Sebastian; Brunner, Fabian; Sissouno, Nada; Schwagerl, Dominik, Schöler-Niewiera, Florian; Schäfer, Ulrich ",,Konferenzpapier,,,,,,,,,10.18653/v1/2025.findings-emnlp.605,,,,,,,,,"Wissenschaftlicher Vortrag",
"An Improved, Strong Baseline for Pre-Trained Large Language Models as Task-Oriented Dialogue Systems",2025,"Steindl, Sebastian; Kestler, André; Schäfer, Ulrich; Ludwig, Bernd ",,Konferenzpapier,,,,,,,,,10.18653/v1/2025.findings-emnlp.610,,,,,,,,,"Wissenschaftlicher Vortrag",
"CoPrUS: Consistency Preserving Utterance Synthesis towards more realistic benchmark dialogues",2025,"Steindl, Sebastian; Schäfer, Ulrich; Ludwig, Bernd ",,Konferenzpapier,,,,,,,,,,,,,https://aclanthology.org/2025.coling-main.394/,,,,,"Wissenschaftlicher Vortrag",
